frame_idx,timestamp,az,el
0,00:39:35.634470,-1.9754739,1.3950195
1,00:39:35.752006,-1.9647119,1.4014177
2,00:39:35.770142,-1.9716861,1.3793731
3,00:39:35.903635,-1.9559871,1.3858943
4,00:39:35.922418,-1.9601231,1.4067526
5,00:39:35.941369,-1.9665368,1.3824764
6,00:39:36.086336,-1.9642909,1.4016355
7,00:39:36.104577,-1.9708618,1.39081
8,00:39:36.122222,-1.9656026,1.3815081
9,00:39:36.264288,-1.9582456,1.3813623
10,00:39:36.284220,-1.9674416,1.4029398
11,00:39:36.302389,-1.9806749,1.39363
12,00:39:36.445002,-1.9890972,1.387074
13,00:39:36.464085,-1.9649146,1.3821397
14,00:39:36.483679,-1.9717458,1.3894671
15,00:39:36.601489,-1.9746416,1.3819098
16,00:39:36.619918,-1.9771404,1.3902416
17,00:39:36.638490,-1.961595,1.3874699
18,00:39:36.774557,-1.9723161,1.3802723
19,00:39:36.794356,-1.9694089,1.3844671
20,00:39:36.813618,-1.9681169,1.3958999
21,00:39:36.956390,-1.9704856,1.3883471
22,00:39:36.976444,-1.9728832,1.4028268
23,00:39:36.995391,-1.9752697,1.3786215
24,00:39:37.134044,-1.9829329,1.38206
25,00:39:37.152756,-1.9600183,1.3898531
26,00:39:37.171552,-1.9651582,1.3918474
27,00:39:37.311706,-1.9609377,1.3757852
28,00:39:37.330766,-1.9676996,1.3786111
29,00:39:37.349248,-1.9557198,1.3919544
30,00:39:37.367792,-1.9635389,1.3966427
31,00:39:37.385978,-1.9757171,1.3853388
32,00:39:37.403827,-1.9584665,1.3976957
33,00:39:37.422645,-1.9664507,1.3994846
34,00:39:37.442071,-1.966094,1.3883457
35,00:39:37.460504,-1.9597882,1.3863854
36,00:39:37.479322,-1.969781,1.3839836
37,00:39:37.498358,-1.9726057,1.3789461
38,00:39:37.517198,-1.970859,1.3866508
39,00:39:37.534815,-1.9663465,1.3828852
40,00:39:37.553389,-1.9629028,1.389488
41,00:39:37.571385,-1.98071,1.3702483
42,00:39:37.589100,-1.9733311,1.3773944
43,00:39:37.606975,-1.9794127,1.3885114
44,00:39:37.624563,-1.9686649,1.3779348
45,00:39:37.643161,-1.9863229,1.3758565
46,00:39:37.660876,-1.9736493,1.3940792
47,00:39:37.679477,-1.9589834,1.3812037
48,00:39:37.698116,-1.9724162,1.386103
49,00:39:37.716602,-1.9735789,1.3730161
50,00:39:37.734767,-1.9658828,1.3812803
51,00:39:37.752774,-1.9867193,1.3829328
52,00:39:37.770096,-1.9777529,1.3769155
53,00:39:37.787528,-1.9632487,1.3824115
54,00:39:37.805553,-1.9890486,1.3824532
55,00:39:37.823879,-1.9681364,1.3899848
56,00:39:37.845400,-1.9511158,1.3903439
57,00:39:37.864176,-1.9658542,1.3829272
58,00:39:37.882244,-1.9603732,1.3973308
59,00:39:37.899847,-1.9621509,1.3895012
60,00:39:37.917415,-1.9649796,1.3963597
61,00:39:37.934633,-1.9700825,1.3888173
62,00:39:37.952488,-1.9666792,1.3836546
63,00:39:37.970366,-1.9547877,1.3829846
64,00:39:37.988385,-1.9642209,1.380712
65,00:39:38.005536,-1.9492526,1.3900242
66,00:39:38.023004,-1.9533129,1.3935744
67,00:39:38.041451,-1.9724592,1.3932327
68,00:39:38.059394,-1.9724002,1.3818393
69,00:39:38.077415,-1.9568876,1.3832173
70,00:39:38.094956,-1.9803369,1.3923266
71,00:39:38.112718,-1.973151,1.3929846
72,00:39:38.129524,-1.9663483,1.3894707
73,00:39:38.147244,-1.969073,1.3883958
74,00:39:38.164288,-1.9500185,1.4033062
75,00:39:38.180911,-1.9584919,1.3925383
76,00:39:38.197359,-1.9498906,1.3737531
77,00:39:38.213776,-1.9504656,1.3939953
78,00:39:38.230480,-1.9618288,1.3963947
79,00:39:38.246821,-1.9594649,1.3940938
80,00:39:38.262744,-1.9583728,1.3851628
81,00:39:38.278566,-1.9545801,1.3827946
82,00:39:38.294895,-1.9511845,1.3935847
83,00:39:38.311065,-1.9568057,1.3904746
84,00:39:38.327263,-1.9601314,1.399153
85,00:39:38.343427,-1.9679967,1.3752158
86,00:39:38.360187,-1.9787222,1.3740513
87,00:39:38.376835,-1.9599401,1.3815976
88,00:39:38.394231,-1.9711008,1.3809478
89,00:39:38.411476,-1.9667634,1.3888452
90,00:39:38.428973,-1.9447352,1.3931448
91,00:39:38.446414,-1.9501616,1.3766339
92,00:39:38.464042,-1.9590485,1.3786387
93,00:39:38.481826,-1.971669,1.3954842
94,00:39:38.499778,-1.9575315,1.4003248
95,00:39:38.517357,-1.9538563,1.3928854
96,00:39:38.535598,-1.9665356,1.395864
97,00:39:38.553771,-1.9571478,1.3790495
98,00:39:38.571434,-1.9745698,1.3856924
99,00:39:38.589304,-1.9600973,1.39017
100,00:39:38.606986,-1.9653026,1.3917875
101,00:39:38.624793,-1.9881226,1.3868529
102,00:39:38.642822,-1.9841069,1.3785968
103,00:39:38.659620,-1.9821323,1.3816652
104,00:39:38.676284,-1.9653466,1.3897119
105,00:39:38.693267,-1.9766824,1.3901019
106,00:39:38.709585,-1.9704075,1.3993847
107,00:39:38.724904,-1.9549818,1.3993237
108,00:39:38.741808,-1.9607255,1.3851557
109,00:39:38.758280,-1.9587469,1.392951
110,00:39:38.774384,-1.9720457,1.3892679
111,00:39:38.790121,-1.9676862,1.3968066
112,00:39:38.806366,-1.9868591,1.399435
113,00:39:38.823154,-1.9820744,1.3871586
114,00:39:38.839486,-1.9795349,1.3833263
115,00:39:38.855820,-1.9704379,1.3812168
116,00:39:38.873897,-1.969819,1.3889799
117,00:39:38.890389,-1.9681962,1.3984349
118,00:39:38.907038,-1.9652443,1.3916857
119,00:39:38.923801,-1.9726175,1.395294
120,00:39:38.940698,-1.9615415,1.3900565
121,00:39:38.957765,-1.9621606,1.3903944
122,00:39:38.975272,-1.9725043,1.3886316
123,00:39:38.991256,-1.9774804,1.378959
124,00:39:39.008829,-1.9680114,1.3870075
125,00:39:39.026397,-1.9709338,1.3853425
126,00:39:39.043848,-1.982867,1.374837
127,00:39:39.061861,-1.969678,1.3966511
128,00:39:39.078752,-1.9693115,1.385137
129,00:39:39.094991,-1.9692118,1.3854146
130,00:39:39.111725,-1.9830142,1.3668119
131,00:39:39.128483,-1.9600015,1.3799896
132,00:39:39.144714,-1.9678922,1.3870277
133,00:39:39.161051,-1.9775623,1.382278
134,00:39:39.177123,-1.9572757,1.3823621
135,00:39:39.193629,-1.9836218,1.386914
136,00:39:39.209690,-1.9877015,1.3855829
137,00:39:39.225978,-1.9868155,1.3759332
138,00:39:39.242383,-1.9730074,1.3899591
139,00:39:39.258890,-1.9693874,1.3805947
140,00:39:39.275956,-1.9615358,1.3936493
141,00:39:39.293195,-1.950686,1.3799415
142,00:39:39.310267,-1.9740461,1.3811486
143,00:39:39.327541,-1.9894309,1.3821249
144,00:39:39.345641,-1.9787774,1.392517
145,00:39:39.363575,-1.9660125,1.3885751
146,00:39:39.381654,-1.9695363,1.3967011
147,00:39:39.399443,-1.9712207,1.39274
148,00:39:39.416731,-1.9522444,1.401854
149,00:39:39.433706,-1.974499,1.3868428
150,00:39:39.450431,-1.9592128,1.3865287
151,00:39:39.467198,-1.9775383,1.3920882
152,00:39:39.483594,-1.976486,1.3903681
153,00:39:39.500342,-1.9652395,1.3820071
154,00:39:39.516206,-1.9650278,1.3781722
155,00:39:39.531937,-1.9673986,1.383019
156,00:39:39.548375,-1.9709703,1.3824656
157,00:39:39.565129,-1.9562855,1.3904094
158,00:39:39.582671,-1.9671559,1.3856794
159,00:39:39.598922,-1.9619423,1.3872541
160,00:39:39.615429,-1.972655,1.3843963
161,00:39:39.632034,-1.9825116,1.3973317
162,00:39:39.648671,-1.9594183,1.3946558
163,00:39:39.665314,-1.9660763,1.391258
164,00:39:39.685998,-1.9604914,1.38926
165,00:39:39.702279,-1.9694911,1.3896517
166,00:39:39.718128,-1.9713802,1.3825562
167,00:39:39.733867,-1.9528025,1.3837316
168,00:39:39.749960,-1.9694037,1.3799787
169,00:39:39.765135,-1.9592965,1.382786
170,00:39:39.780735,-1.9572595,1.3978153
171,00:39:39.796481,-1.9610708,1.3898344
172,00:39:39.812456,-1.956825,1.3920803
173,00:39:39.827726,-1.9631524,1.3842717
174,00:39:39.843047,-1.954962,1.3825357
175,00:39:39.860561,-1.967272,1.3875854
176,00:39:39.877431,-1.9746401,1.3743262
177,00:39:39.893922,-1.9819099,1.3889873
178,00:39:39.910612,-1.9758058,1.3807414
179,00:39:39.927402,-1.9732059,1.3852928
180,00:39:39.944399,-1.961437,1.3970902
181,00:39:39.961832,-1.9780387,1.375658
182,00:39:39.978836,-1.9708138,1.3788046
183,00:39:39.996977,-1.9739382,1.3897517
184,00:39:40.015242,-1.969841,1.3693964
185,00:39:40.031423,-1.9756647,1.3720922
186,00:39:40.049262,-1.9675319,1.3843317
187,00:39:40.066842,-1.9876075,1.3811164
188,00:39:40.083632,-1.9538419,1.3774023
189,00:39:40.099997,-1.9851711,1.382806
190,00:39:40.116393,-1.9679003,1.3900269
191,00:39:40.133922,-1.9583895,1.3876472
192,00:39:40.150706,-1.9817402,1.3722782
193,00:39:40.167401,-1.9678468,1.3880181
194,00:39:40.184571,-1.9476603,1.3960264
195,00:39:40.201053,-1.9508711,1.3871315
196,00:39:40.217149,-1.9615338,1.3925469
197,00:39:40.233381,-1.9765031,1.3868246
198,00:39:40.250388,-1.9869301,1.3843341
199,00:39:40.267667,-1.9840866,1.3947303
200,00:39:40.285206,-1.9854074,1.38732
201,00:39:40.302599,-1.9738402,1.3808674
202,00:39:40.320655,-1.9652529,1.4013569
203,00:39:40.338826,-1.958684,1.3864788
204,00:39:40.357227,-1.9828788,1.3851924
205,00:39:40.375027,-1.9739687,1.388608
206,00:39:40.392178,-1.9609033,1.396947
207,00:39:40.409496,-1.9641725,1.3879585
208,00:39:40.426868,-1.9737725,1.3803905
209,00:39:40.443469,-1.9545207,1.3877054
210,00:39:40.460621,-1.9639132,1.3763399
211,00:39:40.477556,-1.9621835,1.3964441
212,00:39:40.494402,-1.9651053,1.3764677
213,00:39:40.511547,-1.9779291,1.3889936
214,00:39:40.528568,-1.968115,1.3853486
215,00:39:40.545385,-1.9594446,1.3895514
216,00:39:40.563140,-1.9662137,1.386225
217,00:39:40.579781,-1.962558,1.3937912
218,00:39:40.597011,-1.9636159,1.3869593
219,00:39:40.614112,-1.9667417,1.39232
220,00:39:40.631099,-1.9614162,1.3991079
221,00:39:40.648579,-1.963941,1.3957921
222,00:39:40.666025,-1.97841,1.3822367
223,00:39:40.684230,-1.9753544,1.3798933
224,00:39:40.702592,-1.9592593,1.3981321
225,00:39:40.721521,-1.9751948,1.3861364
226,00:39:40.739317,-1.9736208,1.3871145
227,00:39:40.757603,-1.9647729,1.3956193
228,00:39:40.776082,-1.9718032,1.3824205
229,00:39:40.794039,-1.9513531,1.3934716
230,00:39:40.811660,-1.9594953,1.3958447
231,00:39:40.829715,-1.975462,1.3993797
